item,factor,name,price,wprice,kicker
1072,5,Rolf and Malakai's Medallions,70.6,52.95,0.15
1073,9,Holy Spring Water,3.56,2.67,0.5
1074,9,Sack of Barley,12.22,9.165,0.2
1075,2,Sack of Corn,96,72,0.35
1076,2,Sack of Rye,250,187.5,0.05
1077,8,A Sycamore Branch,54.63,40.9725,0.25
1078,5,Bundle of Charred Oak,13.6,10.2,0.5
1079,8,Thunderbrew's Boot Flask,52.88,39.66,0.15
1080,1,Marshal McBride's Documents,408,306,0.3
1081,8,Stormwind Armor Marker,41.13,30.8475,0.2
1082,10,Tough Wolf Meat,22.3,16.725,0.5
1083,5,Red Burlap Bandana,96.4,72.3,0.4
1084,6,Dragonmaw Shortsword,82.33,61.7475,0.1
1085,6,Shortsword of Vengeance,5,3.75,0.5
1086,4,Tunnel Pick,8.75,6.5625,0.15
1087,2,Ice-Covered Bracers,184.5,138.375,0.2
1088,6,Silverleaf,40.5,30.375,0.35
1089,6,Flanged Mace,60.83,45.6225,0.45
1090,2,Long Bo Staff,166.5,124.875,0.45
1091,9,Lumberjack Axe,30.33,22.7475,0.4
1092,7,Chunk of Boar Meat,26.29,19.7175,0.2
1093,7,Large Candle,28.29,21.2175,0.05
1094,6,Gold Dust,23.83,17.8725,0.4
1095,3,Malachite,116.67,87.5025,0.45
1096,8,Vendetta,2.25,1.6875,0.3
1097,7,Kobold Excavation Pick,52.14,39.105,0.4
1098,8,Torn Murloc Fin,54.88,41.16,0.1
1099,2,Stone Gnoll Hammer,63,47.25,0.35
1100,1,Painted Gnoll Armband,463,347.25,0.05
1101,9,Light Hide,36.89,27.6675,0.05
1102,6,Mageroyal,32.67,24.5025,0.2
1103,9,Slitherskin Mackerel,18.78,14.085,0.35
1104,5,Stout Battlehammer,63.4,47.55,0
1105,3,Forester's Axe,65,48.75,0.15
1106,10,Gnarled Ash Staff,47.8,35.85,0.1
1107,2,Knitted Sandals,96.5,72.375,0.3
1108,10,Knitted Gloves,29.7,22.275,0.4
1109,2,Knitted Pants,11,8.25,0.15
1110,7,Knitted Tunic,1.86,1.395,0.45
1111,6,Rough Leather Boots,62,46.5,0.5
1112,6,Rough Leather Gloves,70,52.5,0.25
1113,9,Rough Leather Pants,50.22,37.665,0.05
1114,6,Rough Leather Vest,11.17,8.3775,0.1
1115,5,Large Blue Sack,34.4,25.8,0.1
1116,6,Small Red Pouch,51.17,38.3775,0.4
1117,8,Bloodrazor,9.38,7.035,0.2
1118,6,Hammer of the Northern Wind,78.67,59.0025,0.5
1119,1,Axe of the Deep Woods,381,285.75,0.25
1120,3,Glowing Brightwood Staff,137,102.75,0.1
1121,1,Flask of Oil,107,80.25,0.2
1122,3,Small Hand Blade,80,60,0.4
1123,4,Tigerseye,108.5,81.375,0.2
1124,8,Slicer Blade,60.25,45.1875,0
1125,3,Riverpaw Leather Vest,155.33,116.4975,0.15
1126,1,Brutish Riverpaw Axe,389,291.75,0.1
1127,9,Wicked Blackjack,18.67,14.0025,0.2
1128,5,Small Blue Pouch,27,20.25,0.1
1129,3,Red Leather Bandana,98,73.5,0.05
1130,3,Silver Defias Belt,64.67,48.5025,0.45
1131,7,Lifestone,25.57,19.1775,0.2
1132,9,Large Rope Net,25.33,18.9975,0.25
1133,8,Heavy Weave Armor,6.75,5.0625,0.3
1134,10,Heavy Weave Pants,4.2,3.15,0.15
1135,6,Heavy Weave Gloves,53,39.75,0.05
1136,1,Heavy Weave Shoes,255,191.25,0.35
1137,9,Furlbrow's Pocket Watch,44.11,33.0825,0.45
1138,3,Tanned Leather Boots,85.67,64.2525,0
1139,1,Tanned Leather Gloves,95,71.25,0.3
1140,3,Tanned Leather Pants,96.33,72.2475,0.4
1141,1,Tanned Leather Jerkin,229,171.75,0.1
1142,4,Chainmail Armor,77.25,57.9375,0.5
1143,5,Chainmail Pants,2.4,1.8,0.2
1144,1,Chainmail Boots,338,253.5,0.3
1145,9,Chainmail Gloves,46,34.5,0.35
1146,2,Cutlass,239,179.25,0.4
1147,6,Mace,9.83,7.3725,0.4
1148,6,Hatchet,4.5,3.375,0.45
1149,10,Quarter Staff,14.5,10.875,0.4
1150,6,Blue Leather Bag,69,51.75,0.25
1151,1,Large Red Sack,331,248.25,0.1
1152,5,Lesser Healing Potion,95.6,71.7,0.15
1153,6,Fine Cloth Shirt,39.67,29.7525,0.3
1154,10,Cavalier's Boots,10,7.5,0
1155,1,Runed Ring,451,338.25,0
1156,7,Gloom Reaper,25.86,19.395,0.35
1157,6,Knightly Longsword,65.33,48.9975,0.25
1158,2,Leaden Mace,174.5,130.875,0.3
1159,8,Monk's Staff,18.5,13.875,0.15
1160,1,Gloves of Holy Might,41,30.75,0.05
1161,9,Ardent Custodian,55.44,41.58,0.15
1162,10,Dazzling Longsword,47,35.25,0.4
1163,2,Fiery War Axe,193,144.75,0.1
1164,3,Flurry Axe,122.33,91.7475,0.25
1165,2,Rockslicer,216,162,0.05
1166,6,Staff of Jordan,53.17,39.8775,0.1
1167,3,Worn Wooden Buckler,121,90.75,0.1
1168,7,Staff of Horrors,3.29,2.4675,0.1
1169,2,Ghoul Rib,189.5,142.125,0.25
1170,3,Black Metal Axe,108,81,0.25
1171,4,Black Metal Shortsword,22.5,16.875,0.45
1172,6,Naga Battle Gloves,4.5,3.375,0.2
1173,9,A Dusty Unsent Letter,12.67,9.5025,0.2
1174,6,Twisted Chanter's Staff,38.67,29.0025,0.15
1175,6,Gnoll Casting Gloves,25.17,18.8775,0.35
1176,7,Worgen Skull,61.43,46.0725,0.15
1177,1,Worgen Fang,209,156.75,0
1178,2,Madwolf Bracers,43.5,32.625,0.4
1179,7,Venom Web Fang,9.86,7.395,0.15
1180,9,Deprecated Nightmare Summoning (Mount),16.78,12.585,0.15
1181,9,An Undelivered Letter,45.33,33.9975,0.2
1182,8,Ironwood Treebranch,24.25,18.1875,0
1183,9,Huge Ogre Sword,19.44,14.58,0.35
1184,8,Large Ogre Chain Armor,37.5,28.125,0.05
1185,10,Red Silk Bandana,16.6,12.45,0.4
1186,1,A Torn Journal Page,75,56.25,0.45
1187,10,Deviate Hide Pack,7.3,5.475,0.15
1188,7,Wicked Spiked Mace,37.43,28.0725,0.1
1189,8,A Faded Journal Page,27,20.25,0.1
1190,7,Dacian Falx,53,39.75,0.1
1191,8,Longsword,27.63,20.7225,0.25
1192,1,Maul,450,337.5,0.2
1193,7,Flail,9.71,7.2825,0.5
1194,6,Battle Axe,22.17,16.6275,0.35
1195,8,Double Axe,9.25,6.9375,0.35
1196,5,Long Staff,51.4,38.55,0.2
1197,10,Healing Potion,41.3,30.975,0.5
1198,2,Deprecated Heavy Brown Sack,83.5,62.625,0.15
1199,10,Fel Steed Saddlebags,41.5,31.125,0.3
1200,9,Large Rucksack,18.22,13.665,0.35
1201,6,Stalvan's Reaper,44.83,33.6225,0.15
1202,9,Night Watch Shortsword,55,41.25,0.4
1203,3,Midnight Mace,142.33,106.7475,0.45
1204,5,Black Duskwood Staff,82.6,61.95,0.45
1205,9,Muddy Journal Pages,21.78,16.335,0.4
1206,7,A Bloodstained Journal Page,62,46.5,0.15
1207,7,Robes of Insight,30.57,22.9275,0.4
1208,4,Freezing Band,120.5,90.375,0.1
1209,4,Warden Staff,120,90,0
1210,2,Elemental Mage Staff,10,7.5,0
1211,6,Scroll of Strength,63.83,47.8725,0.45
1212,5,Scroll of Intellect,76.6,57.45,0.5
1213,4,Deprecated Area Trigger Flag - Jasperlode mine,23.5,17.625,0.3
1214,3,William's Shipment,64.67,48.5025,0
1215,7,Deprecated Area Trigger Flag - Darkhollow Mine,44.43,33.3225,0.35
1216,10,Deprecated Area Trigger Flag - Fargodeep,12.5,9.375,0.3
1217,5,Healing Herb,22.4,16.8,0.05
1218,2,Pork Belly Pie,214,160.5,0.2
1219,1,Bernice's Necklace,345,258.75,0.45
1220,8,Red Linen Sash,3.75,2.8125,0.25
1221,4,Ring of Righteous Flame (TEST),61,45.75,0.25
1222,2,Brass Collar,38,28.5,0.05
1223,10,Well-Used Sword,6.6,4.95,0.2
1224,10,Compact Hammer,39.9,29.925,0.45
1225,3,Gnarled Short Staff,136.33,102.2475,0.4
1226,3,Sharp Axe,157.67,118.2525,0.1
1227,10,Iron Rivet,36.3,27.225,0.1
1228,10,Large Moneybag (old),4.7,3.525,0.15
1229,10,Lean Wolf Flank,26.5,19.875,0.45
1230,8,Seasoned Wolf Kabob,34.88,26.16,0
1231,2,Linen Scrap,19.5,14.625,0.4
1232,10,Leather Helmet D (Test),24.9,18.675,0.15
1233,8,Leather Helmet A (test),0.75,0.5625,0.35
1234,3,Plate Helmet D2 (test),147,110.25,0.3
1235,6,Plate Helmet D1 (Test),34.5,25.875,0.2
1236,7,Mail Helmet A (Test),6.57,4.9275,0.3
1237,4,Shadowhide Pendant,114.25,85.6875,0.05
1238,8,Defias Renegade Ring,49.38,37.035,0.45
1239,1,Defias Mage Ring,64,48,0.15
1240,5,Tough Condor Meat,92,69,0.35
1241,7,Redridge Goulash,16.86,12.645,0.2
1242,7,Glyph of Azora,11,8.25,0.4
1243,10,Conjured Bread,25.6,19.2,0.05
1244,9,Conjured Rye,10.44,7.83,0.2
1245,9,Ring of Pure Silver,52.89,39.6675,0.45
1246,4,Feet of the Lynx,26.75,20.0625,0.4
1247,3,Flash Bundle,89.67,67.2525,0.3
1248,9,Ghoul Fang,31.89,23.9175,0.5
1249,7,Vial of Spider Venom,56.43,42.3225,0.1
1250,4,Totem of Infliction,21.75,16.3125,0.2
1251,9,Horn of the Timber Wolf,39.44,29.58,0.1
1252,8,Belt of the People's Militia,32,24,0.1
1253,1,Rod of the Sleepwalker,47,35.25,0.4
1254,5,Lavishly Jeweled Ring,77.2,57.9,0.1
1255,2,Solid Metal Club,250,187.5,0.25
1256,7,Militia Quarterstaff,8.86,6.645,0.05
1257,7,Militia Shortsword,48.86,36.645,0.45
1258,5,Pirates Patch (Test),12.2,9.15,0.5
1259,2,Dented Buckler,45,33.75,0.1
1260,4,Small Targe,86.5,64.875,0.5
1261,10,Skullflame Shield,22.7,17.025,0.1
1262,5,Blackskull Shield,49.8,37.35,0.5
1263,5,Well-Stitched Robe,97.4,73.05,0.15
1264,9,Grayson's Torch,54.67,41.0025,0.3
1265,8,Weather-Worn Boots,11.63,8.7225,0.05
1266,1,Oil of Olaf,86,64.5,0.05
1267,5,Explosive Rocket,14,10.5,0.1
1268,10,Ice Cold Milk,49.3,36.975,0.25
1269,5,Scroll of Stamina,98.2,73.65,0
1270,6,Scroll of Spirit,18.5,13.875,0.1
1271,8,Brass-Studded Bracers,22.5,16.875,0.4
1272,3,Elastic Wristguards,64,48,0.4
1273,6,Spiked Collar,2.83,2.1225,0.2
1274,4,Overseer's Ring,89,66.75,0.3
1275,1,Overseer's Cloak,417,312.75,0.35
1276,2,Bag of Marbles,94.5,70.875,0.4
1277,7,Banded Buckler,3.29,2.4675,0.15
1278,10,Bastard Sword,14.4,10.8,0.05
1279,10,Kobold Mining Shovel,5.1,3.825,0.1
1280,4,Tabar,124,93,0.1
1281,3,Giant Mace,162.33,121.7475,0.05
1282,8,Claymore,42.13,31.5975,0
1283,5,Large Wooden Shield,45.8,34.35,0.15
1284,9,Dull Heater Shield,6,4.5,0.05
1285,2,Wall Shield,10.5,7.875,0.3
1286,4,Aegis of Stormwind,20,15,0.2
1287,3,The Green Tower,120,90,0
1288,4,Melon Juice,51.5,38.625,0.1
1289,9,Moss Agate,25.56,19.17,0.3
1290,1,Murphstar,489,366.75,0.15
1291,9,Maybell's Love Letter,35,26.25,0
1292,8,Shadowgem,39.25,29.4375,0.45
1293,6,Gnoll War Harness,44.83,33.6225,0.4
1294,2,Gnoll Kindred Bracers,125.5,94.125,0.45
1295,6,Gnoll Punisher,17.83,13.3725,0.35
1296,5,Support Girdle,69.6,52.2,0.25
1297,3,Unknown Reward,94.33,70.7475,0.3
1298,3,Heavy Gnoll War Club,96,72,0
1299,8,Redridge Machete,21.63,16.2225,0.1
1300,9,Lupine Axe,39.22,29.415,0
1301,2,Underbelly Whelp Scale,12,9,0.45
1302,5,Linen Bandage,0.6,0.45,0.35
1303,10,Gramma Stonefield's Note,17,12.75,0.25
1304,6,Crystal Kelp Frond,45.17,33.8775,0.1
1305,1,Invisibility Liquor,243,182.25,0.3
1306,9,Tharil'zun's Head,26.89,20.1675,0.15
1307,10,Midnight Orb,7.7,5.775,0.45
1308,4,Keg of Thunderbrew Lager,56.5,42.375,0.2
1309,1,Brain Hacker,49,36.75,0.4
1310,4,Headbasher,76,57,0
1311,1,Scorpion Sting,118,88.5,0.25
1312,6,Finely Woven Cloak,49.5,37.125,0.5
1313,3,Forest Chain,117.33,87.9975,0.05
1314,2,Deputy Chain Coat,244,183,0.45
1315,8,Fire Hardened Buckler,29.38,22.035,0.1
1316,7,Cloaked Hood,47.43,35.5725,0.2
1317,2,Sparkmetal Coif,64,48,0.45
1318,9,Verner's Note,53.56,40.17,0.4
1319,8,Crate of Horseshoes,15.13,11.3475,0.3
1320,1,Giant Tarantula Fang,124,93,0.05
1321,10,Large Venom Sac,18.7,14.025,0.25
1322,10,Butcher's Cleaver,13.1,9.825,0.05
1323,3,The State of Lakeshire,67,50.25,0.05
1324,8,The General's Response,62.13,46.5975,0
1325,5,Blackrock Mace,77.6,58.2,0.4
1326,10,Robes of the Shadowcaster,25.4,19.05,0.1
1327,3,Lesser Belt of the Spire,82.33,61.7475,0.1
1328,9,Lesser Staff of the Spire,30.67,23.0025,0.05
1329,8,Black Whelp Gloves,18.88,14.16,0.45
1330,2,Bridgeworker's Gloves,163,122.25,0.45
1331,2,Riding Gloves,234,175.5,0.2
1332,9,Wolfmane Wristguards,16.78,12.585,0.05
1333,1,Gold Pickup Schedule,369,276.75,0.05
1334,2,Oslow's Toolbox,230.5,172.875,0.25
1335,10,Smith's Trousers,0.1,0.075,0.3
1336,6,Ghoul Fingers,19.17,14.3775,0.25
1337,9,Lei of Lilies,53.44,40.08,0.15
1338,7,Hardened Root Staff,49.71,37.2825,0.1
1339,7,Night Reaver,36.57,27.4275,0.25
1340,4,Ring of Iron Will,6,4.5,0.4
1341,1,Fishliver Oil,123,92.25,0.4
1342,9,Daffodil Bouquet,40.56,30.42,0
1343,1,Sauteed Sunfish,124,93,0.3
1344,4,Wiley's Note,63.25,47.4375,0.1
1345,9,Abercrombie's Crate,55.44,41.58,0.25
1346,8,Fingerbone Bracers,38.63,28.9725,0.15
1347,1,Cracked Skull Mortar,450,337.5,0.4
1348,5,Shaw's Report,10,7.5,0.15
1349,7,Buckskin Cape,37.86,28.395,0.1
1350,8,Commendation - Elwynn Forest,34.63,25.9725,0.5
1351,10,Captain Sanders' Treasure Map,29.5,22.125,0
1352,8,A Clue to Sanders' Treasure,50.38,37.785,0.45
1353,7,Lion-Stamped Gloves,22.71,17.0325,0.15
1354,9,Stormwind Chain Gloves,48.78,36.585,0.3
1355,3,Another Clue to Sanders' Treasure,55,41.25,0.4
1356,2,Final Clue to Sanders' Treasure,34.5,25.875,0.25
1357,8,A Mysterious Message,31.13,23.3475,0.1
1358,2,Rock Mace,14,10.5,0.05
1359,5,Stone Tomahawk,92.4,69.3,0.15
1360,9,Dull Blade,10.78,8.085,0.3
1361,3,Thistlewood Axe,13.33,9.9975,0.4
1362,9,Ghoulfang,22,16.5,0.15
1363,3,Crooked Staff,50.67,38.0025,0.25
1364,6,Kobold Mining Mallet,66.67,50.0025,0.2
1365,7,Riverpaw Mystic Staff,8.14,6.105,0.3
1366,2,Driftwood Club,208,156,0.15
1367,6,Apprentice's Pants,72.33,54.2475,0.35
1368,7,Acolyte's Pants,65,48.75,0.45
1369,3,Magic Candle,84.67,63.5025,0.15
1370,9,Riverpaw Tea Leaf,28.22,21.165,0.2
1371,10,Tidal Charm,24.6,18.45,0.1
1372,3,Foamspittle Staff,48.33,36.2475,0.25
1373,6,Pearl-Encrusted Spear,16,12,0
1374,2,Solomon's Plea to Westfall,149,111.75,0.3
1375,3,Stoutmantle's Response to Solomon,161.33,120.9975,0.3
1376,1,Solomon's Plea to Darkshire,127,95.25,0.2
1377,1,Ebonlocke's Response to Solomon,17,12.75,0.1
1378,9,Glowing Wax Stick,7,5.25,0.5
1379,4,Frontier Britches,105.75,79.3125,0
1380,8,Warrior's Shield,18.88,14.16,0.1
1381,5,Gnoll Skull Basher,60.6,45.45,0.5
1382,7,Jeweled Amulet of Cainwyn,33.57,25.1775,0.45
1383,3,Blackrock Pauldrons,137.33,102.9975,0.05
1384,2,Blackrock Boots,116,87,0.4
1385,3,Ring of Saviors,120.33,90.2475,0.25
1386,2,Blackrock Gauntlets,8.5,6.375,0.2
1387,8,Minor Channeling Ring,3.75,2.8125,0.35
1388,6,Potion of Fervor,41.67,31.2525,0.15
1389,7,Bottle of Zombie Juice,21.14,15.855,0.25
1390,2,Spectral Comb,236,177,0.2
1391,6,Axe of the Enforcer,4.5,3.375,0.35
1392,2,Blackrock Champion's Axe,38.5,28.875,0.45
1393,5,Shadowhide Mace,96.2,72.15,0.2
1394,2,Shadowhide Maul,245,183.75,0.3
1395,8,Shadowhide Scalper,34.13,25.5975,0.5
1396,8,Shadowhide Two-Handed Sword,11.63,8.7225,0
1397,4,Slayer's Battle Axe,93.75,70.3125,0.4
1398,6,Ring of the Shadow,31.5,23.625,0.15
1399,3,Tigerbane,4.67,3.5025,0.3
1400,3,Spotted Sunfish,47,35.25,0.5
1401,2,Murloc Fin,31.5,23.625,0
1402,5,Scimitar of Atun,42.2,31.65,0.1
1403,2,Murloc Skin Bag,35.5,26.625,0.25
1404,2,Riverside Staff,249,186.75,0.25
1405,7,Small Venom Sac,28,21,0.4
1406,5,Scroll of Agility II,48,36,0.05
1407,2,Scroll of Protection II,221.5,166.125,0.25
1408,3,Salma's Oven Mitts,71.33,53.4975,0.35
1409,8,Fist of the People's Militia,9,6.75,0.45
1410,2,Grimclaw,107.5,80.625,0.2
1411,1,Shadowfang,294,220.5,0.2
1412,3,Face Smasher,164.33,123.2475,0.1
1413,9,Witching Stave,33.67,25.2525,0.1
1414,6,Tree Bark Jacket,62.83,47.1225,0.35
1415,1,Conjured Pumpernickel,481,360.75,0.3
1416,5,Avenger's Armor,7,5.25,0.45
1417,5,Gloomshroud Armor,93.8,70.35,0
1418,9,Guardian Talisman,37.44,28.08,0.4
1419,3,Ring of Precision,52.33,39.2475,0
1420,7,Heavy Marauder Scimitar,41.57,31.1775,0.05
1421,3,Ghost Hair Comb,111.67,83.7525,0.4
1422,1,Bloodscalp Ear,404,303,0.1
1423,10,Lumbering Ogre Axe,24.7,18.525,0
1424,3,Headhunting Spear,166.67,125.0025,0.25
1425,4,Huge Stone Club,109.5,82.125,0.25
1426,4,Skullsplitter Tusk,84.5,63.375,0.2
1427,9,Handful of Oats,5,3.75,0.3
1428,6,Jade,22.83,17.1225,0.35
1429,4,Shrunken Head,107.5,80.625,0.2
1430,7,Old Blanchy's Feed Pouch,8.71,6.5325,0.15
1431,7,Gnarled Hermit's Staff,5.71,4.2825,0.4
1432,8,Shield of the Faith,35.5,26.625,0.5
1433,6,Buckler of the Seas,30.5,22.875,0.25
1434,10,Bluegill Sandals,36.4,27.3,0.5
1435,10,Harvester's Robe,34.3,25.725,0
1436,10,Edge of the People's Militia,1.3,0.975,0.15
1437,9,Ghost Hair Thread,10.56,7.92,0.25
1438,10,Rot Blossom,25.6,19.2,0.05
1439,2,Sickle Axe,127,95.25,0.05
1440,10,Chromatic Sword,14.7,11.025,0.35
1441,4,Soulkeeper,101.25,75.9375,0.25
1442,1,Skullcrusher Mace,63,47.25,0.25
1443,9,Spiritchaser Staff,22.11,16.5825,0.25
1444,5,Skullsplitter Helm,43.6,32.7,0.1
1445,8,Exquisite Flamberge,13.13,9.8475,0.25
1446,9,Letter to Ello,5,3.75,0.1
1447,10,Grinning Axe,2,1.5,0.1
1448,2,Monstrous War Axe,59,44.25,0.25
1449,7,Moonberry Juice,41,30.75,0.35
1450,1,Sturdy Lunchbox,456,342,0
1451,8,Translated Letter,39,29.25,0.35
1452,10,Engineering Gloves,24.6,18.45,0.4
1453,8,Spellforce Rod,16.38,12.285,0.5
1454,2,Deprecated Ogre Head,75.5,56.625,0.15
1455,9,Drake-Scale Vest,38.44,28.83,0.5
1456,6,Black Ogre Kickers,65.67,49.2525,0.2
1457,9,Korg Bat,23.89,17.9175,0.3
1458,10,Headchopper,17.8,13.35,0.3
1459,9,Troll-Hide Bag,17,12.75,0.3
1460,8,Crystal Basilisk Spine,34.63,25.9725,0.05
1461,6,Lesser Moonstone,69.83,52.3725,0.35
1462,7,Stormwind Brie,16.14,12.105,0.05
1463,10,Sweet Nectar,44.2,33.15,0.15
1464,6,Greater Healing Potion,81,60.75,0.45
1465,5,Scroll of Stamina II,38.8,29.1,0.4
1466,8,Scroll of Spirit II,44.13,33.0975,0.5
1467,4,Ankh of Life,112,84,0.25
1468,5,Necklace of Calisea,80.8,60.6,0.15
1469,5,Polished Jazeraint Armor,48.8,36.6,0.35
1470,3,Robe of the Magi,42.33,31.7475,0.4
1471,7,Double Link Tunic,34.71,26.0325,0.35
1472,3,Basilisk Hide Pants,154.33,115.7475,0.4
1473,10,Tanglewood Staff,24,18,0.2
1474,6,Viking Warhammer,82.33,61.7475,0.4
1475,4,Thornstone Sledgehammer,69.25,51.9375,0.35
1476,6,Large Knapsack,64.17,48.1275,0.45
1477,9,Poison-Tipped Bone Spear,15,11.25,0.05
1478,7,Sword of Decay,22.43,16.8225,0.4
1479,6,Teebu's Blazing Longsword,47.33,35.4975,0.1
1480,1,Gunnysack of the Night Watch,288,216,0.2
1481,8,Lucky Trousers,10.25,7.6875,0.45
1482,6,Dirty Leather Belt,6,4.5,0.4
1483,7,Dirty Leather Bracers,13.43,10.0725,0.15
1484,3,Rough Leather Belt,102,76.5,0.15
1485,2,Rough Leather Bracers,126,94.5,0.4
1486,6,Tanned Leather Belt,65.5,49.125,0.35
1487,10,Tanned Leather Bracers,37.3,27.975,0.45
1488,3,Chainmail Belt,157.33,117.9975,0.05
1489,10,Chainmail Bracers,44,33,0.35
1490,1,Cured Leather Belt,34,25.5,0.4
1491,5,Cured Leather Bracers,19.2,14.4,0.5
1492,7,Scalemail Bracers,16.14,12.105,0.1
1493,8,Scalemail Belt,22.38,16.785,0.3
1494,1,Thistlenettle's Badge,124,93,0.2
1495,3,Miner's Revenge,109.67,82.2525,0
1496,9,Miners' Union Card,33.67,25.2525,0
1497,4,Studded Blackjack,110.5,82.875,0
1498,8,Jeweled Dagger,49.88,37.41,0.5
1499,9,Supplies for Sven,21,15.75,0
1500,9,Ambassador's Satchel,25.33,18.9975,0.45
1501,5,Defias Rapier,21.4,16.05,0.45
1502,10,Weighted Sap,26.9,20.175,0.35
1503,1,Deadmines Cleaver,235,176.25,0.05
1504,5,Defias Mage Staff,53.4,40.05,0.05
1505,2,Silk-Threaded Trousers,173,129.75,0.1
1506,9,Stonemason Cloak,45.78,34.335,0.35
1507,6,Huge Gnoll Claw,27.17,20.3775,0
1508,3,Staff of Conjuring,14.67,11.0025,0.1
1509,5,Hogger's Trousers,38.6,28.95,0.3
1510,1,Assassin's Blade,499,374.25,0.5
1511,4,Goblin Screwdriver,115.25,86.4375,0.3
1512,8,Buzz Saw,30.75,23.0625,0.5
1513,7,Block Mallet,70.57,52.9275,0.1
1514,1,Skin of Sweet Rum,488,366,0.1
1515,6,Cask of Merlot,11.83,8.8725,0.3
1516,4,Bottle of Moonshine,122.75,92.0625,0.1
1517,2,Goblin Mail Leggings,143.5,107.625,0.45
1518,9,Metalworking Gloves,1.22,0.915,0.1
1519,1,Woodworking Gloves,333,249.75,0.2
1520,5,Mary's Looking Glass,39.2,29.4,0.2
1521,9,Blackwater Cutlass,0.78,0.585,0.25
1522,6,Dragonmaw Chain Boots,10.5,7.875,0.4
1523,9,Faded Shadowhide Pendant,9.44,7.08,0.35
1524,2,Petrified Shinbone,196.5,147.375,0.1
